Unicode,Akshara,Top Modifier,Right Modifier,Bottom Modifier,Left Modifier,Center Modifier,Derived Consonant Modifier,Distinct Constant Modifier,additional_complexity
0905,अ,0,0,0,0,0,0,0,0
0906,आ,0,1,0,0,0,0,0,0
0907,इ,0,0,0,0,0,0,0,0
0908,ई,1,0,0,0,0,0,0,0
0909,उ,0,0,0,0,0,0,0,0
090A,ऊ,0,1,0,0,0,0,0,0
090B,ऋ,0,0,0,0,0,0,0,0
0960,ॠ,0,1,0,0,0,0,0,0
090E,ऎ,1,0,0,0,0,0,0,0
090F,ए,0,0,0,0,0,0,0,0
0910,ऐ,1,0,0,0,0,0,0,0
0912,ऒ,1,1,0,0,0,0,0,0
0913,ओ,1,1,0,0,0,0,0,0
0914,औ,1,1,0,0,0,0,0,0
0915,क,0,0,0,0,0,0,0,0
0916,ख,0,0,0,0,0,0,0,10
0917,ग,0,0,0,0,0,0,0,0
0918,घ,0,0,0,0,0,0,0,0
0919,ङ,0,0,0,0,0,0,0,0
091A,च,0,0,0,0,0,0,0,0
091B,छ,0,0,0,0,0,0,0,0
091C,ज,0,0,0,0,0,0,0,0
091D,झ,0,0,0,0,0,0,0,5
091E,ञ,0,0,0,0,0,0,0,0
091F,ट,0,0,0,0,0,0,0,0
0920,ठ,0,0,0,0,0,0,0,0
0921,ड,0,0,0,0,0,0,0,0
0922,ढ,0,0,0,0,0,0,0,0
0923,ण,0,0,0,0,0,0,0,0
0924,त,0,0,0,0,0,0,0,0
0925,थ,0,0,0,0,0,0,0,10
0926,द,0,0,0,0,0,0,0,0
0927,ध,0,0,0,0,0,0,0,10
0928,न,0,0,0,0,0,0,0,0
092A,प,0,0,0,0,0,0,0,0
092B,फ,0,0,0,0,0,0,0,0
092C,ब,0,0,0,0,0,0,0,0
092D,भ,0,0,0,0,0,0,0,0
092E,म,0,0,0,0,0,0,0,0
092F,य,0,0,0,0,0,0,0,0
0930,र,0,0,0,0,0,0,0,0
0931,ऱ,0,0,1,0,0,0,0,0
0932,ल,0,0,0,0,0,0,0,0
0933,ळ,0,0,0,0,0,0,0,0
0935,व,0,0,0,0,0,0,0,0
0936,श,0,0,0,0,0,0,0,0
0937,ष,0,0,0,0,0,0,0,0
0938,स,0,0,0,0,0,0,0,0
0939,ह,0,0,0,0,0,0,0,0
094D,्,0,0,0,0,0,0,0,0
093E,ा,0,1,0,0,0,0,0,0
093F,ि,0,0,0,1,0,0,0,0
0940, ी,0,1,0,0,0,0,0,0
0941, ु,0,0,1,0,0,0,0,0
0942, ू,0,0,1,0,0,0,0,0
0943, ृ,0,0,1,0,0,0,0,0
0944, ॄ,0,0,1,0,0,0,0,0
0946, ॆ,1,0,0,0,0,0,0,0
0947,े,1,0,0,0,0,0,0,0
0948,ै,1,0,0,0,0,0,0,0
094A,ॊ,1,1,0,0,0,0,0,0
094B,ो,1,1,0,0,0,0,0,0
094C,ौ,1,1,0,0,0,0,0,0
0901,CANDRABINDU,1,0,0,0,0,0,0,25
0902, ं,1,0,0,0,0,0,0,0
0903, ः,0,1,0,0,0,0,0,0
0915m,क,0,0,0,1,0,1,0,0
0916m,ख,0,0,0,1,0,1,0,0
0917m,ग,0,0,0,1,0,1,0,0
0918m,घ,0,0,0,1,0,1,0,0
0919m,ङ,0,0,0,1,0,0,1,0
091Am,च,0,0,0,1,0,1,0,0
091Bm,छ,0,0,0,1,0,1,0,0
091Cm,ज,0,0,0,1,0,1,0,0
091Dm,झ,0,0,0,1,0,0,1,0
091Em,ञ,0,0,0,1,0,0,1,0
091Fm,ट,0,0,1,0,0,1,0,0
0920m,ठ,0,0,1,0,0,1,0,0
0921m,ड,0,0,1,0,0,1,0,0
0922m,ढ,0,0,1,0,0,1,0,0
0923m,ण,0,0,0,1,0,1,0,0
0924m,त,0,0,0,1,0,0,1,0
0925m,थ,0,0,0,1,0,1,0,0
0926m,द,0,0,0,1,0,0,1,0
0927m,ध,0,0,0,1,0,1,0,0
0928m,न,0,0,0,1,0,0,1,0
092Am,प,0,0,0,1,0,1,0,0
092Bm,फ,0,0,0,1,0,0,1,0
092Cm,ब,0,0,0,1,0,1,0,0
092Dm,भ,0,0,0,1,0,1,0,0
092Em,म,0,0,0,1,0,1,0,0
092Fm,य,0,0,0,1,0,1,0,0
0930m,र,0,0,1,0,0,0,1,0
0931m,ऱ,0,0,1,0,0,0,1,0
0932m,ल,0,0,0,1,0,1,0,0
0933m,ळ,0,0,0,1,0,1,0,0
0935m,व,0,0,0,1,0,1,0,0
0936m,श,0,0,0,1,0,1,0,0
0937m,ष,0,0,0,1,0,1,0,0
0938m,स,0,0,0,1,0,1,0,0
0939m,ह,0,0,0,1,0,1,0,0
0958,क़,0,0,1,0,0,1,0,0
0959,ख़,0,0,1,0,0,1,0,0
095A,ग़,0,0,1,0,0,1,0,0
095B,ज़,0,0,1,0,0,1,0,0
095C,ड़,0,0,1,0,0,1,0,0
095D,ढ़,0,0,1,0,0,1,0,0
095E,फ़,0,0,1,0,0,1,0,0
095F,य़,0,0,1,0,0,1,0,0
