Unicode,Akshara,Top Modifier,Right Modifier,Bottom Modifier,Left Modifier,Center Modifier,Derived Consonant Modifier,Distinct Constant Modifier,additional_complexity
0B05, ଅ,0,0,0,0,0,0,0,0
0B06, ଆ,0,1,0,0,0,0,0,0
0B07, ଇ,0,0,0,0,0,0,0,0
0B08, ଈ,1,0,0,0,0,0,0,0
0B09, ଉ,0,0,0,0,0,0,0,0
0B0A, ଊ,0,1,0,0,0,0,0,0
0B0B, ଋ,0,0,0,0,0,0,0,0
0B0C, ଌ,0,1,0,0,0,0,0,0
0B0F, ଏ,1,0,0,0,0,0,0,0
0B10, ଐ,0,0,0,0,0,0,0,0
0B13, ଓ,1,0,0,0,0,0,0,0
0B14, ଔ,1,1,0,0,0,0,0,0
0B15, କ,0,0,0,0,0,0,0,0
0B16, ଖ,0,0,0,0,0,0,0,10
0B17, ଗ,0,0,0,0,0,0,0,0
0B18, ଘ,0,0,0,0,0,0,0,0
0B19, ଙ,0,0,0,0,0,0,0,0
0B1A, ଚ,0,0,0,0,0,0,0,0
0B1B, ଛ,0,0,0,0,0,0,0,0
0B1C, ଜ,0,0,0,0,0,0,0,5
0B1D, ଝ,0,0,0,0,0,0,0,0
0B1E, ଞ,0,0,0,0,0,0,0,0
0B1F, ଟ,0,0,0,0,0,0,0,0
0B20, ଠ,0,0,0,0,0,0,0,0
0B21, ଡ,0,0,0,0,0,0,0,0
0B22, ଢ,0,0,0,0,0,0,0,0
0B23, ଣ,0,0,0,0,0,0,0,0
0B24, ତ,0,0,0,0,0,0,0,10
0B25, ଥ,0,0,0,0,0,0,0,0
0B26, ଦ,0,0,0,0,0,0,0,10
0B27, ଧ,0,0,0,0,0,0,0,0
0B28, ନ,0,0,0,0,0,0,0,0
0B2A, ପ,0,0,0,0,0,0,0,0
0B2B, ଫ,0,0,0,0,0,0,0,0
0B2C, ବ,0,0,0,0,0,0,0,0
0B2D, ଭ,0,0,0,0,0,0,0,0
0B2E, ମ,0,0,0,0,0,0,0,0
0B2F, ଯ,0,0,0,0,0,0,0,0
0B30, ର,0,0,0,0,0,0,0,0
0B32, ଲ,0,0,0,0,0,0,0,0
0B33, ଳ,0,0,0,0,0,0,0,0
0B35, ଵ,0,0,0,0,0,0,0,0
0B36, ଶ,0,0,0,0,0,0,0,0
0B37, ଷ,0,0,0,0,0,0,0,0
0B38, ସ,0,0,0,0,0,0,0,0
0B39, ହ,0,0,0,1,0,0,0,0
0B3E, ା,0,0,0,0,0,0,0,0
0B3F, ି,0,1,0,0,0,0,0,0
0B40, ୀ,0,0,1,0,0,0,0,0
0B41, ୁ,0,0,1,0,0,0,0,0
0B42, ୂ,0,0,1,0,0,0,0,0
0B43, ୃ,0,0,1,0,0,0,0,0
0B44, ୄ,1,0,0,0,0,0,0,0
0B47, େ,1,0,0,0,0,0,0,0
0B48, ୈ,1,0,0,0,0,0,0,0
0B01,CANDRABINDU,1,0,0,0,0,0,0,25
0B02, ଂ,1,0,0,0,0,0,0,0
0B03, ଃ,0,1,0,0,0,0,0,0
0B15m, କ,0,0,0,0,0,0,0,0
0B16m, ଖ,0,0,0,0,0,0,0,10
0B17m, ଗ,0,0,0,0,0,0,0,0
0B18m, ଘ,0,0,0,0,0,0,0,0
0B19m, ଙ,0,0,0,0,0,0,0,0
0B1Am, ଚ,0,0,0,0,0,0,0,0
0B1Bm, ଛ,0,0,0,0,0,0,0,0
0B1Cm, ଜ,0,0,0,0,0,0,0,0
0B1Dm, ଝ,0,0,0,0,0,0,0,5
0B1Em, ଞ,0,0,0,0,0,0,0,0
0B1Fm, ଟ,0,0,0,0,0,0,0,0
0B20m, ଠ,0,0,0,0,0,0,0,0
0B21m, ଡ,0,0,0,0,0,0,0,0
0B22m, ଢ,0,0,0,0,0,0,0,0
0B23m, ଣ,0,0,0,0,0,0,0,0
0B24m, ତ,0,0,0,0,0,0,0,0
0B25m, ଥ,0,0,0,0,0,0,0,10
0B26m, ଦ,0,0,0,0,0,0,0,0
0B27m, ଧ,0,0,0,0,0,0,0,10
0B28m, ନ,0,0,0,0,0,0,0,0
0B2Am, ପ,0,0,0,0,0,0,0,0
0B2Bm, ଫ,0,0,0,0,0,0,0,0
0B2Cm, ବ,0,0,0,0,0,0,0,0
0B2Dm, ଭ,0,0,0,0,0,0,0,0
0B2Em, ମ,0,0,0,0,0,0,0,0
0B2Fm, ଯ,0,0,0,0,0,0,0,0
0B30m, ର,0,0,0,0,0,0,0,0
0B31m, ଲ,0,0,0,0,0,0,0,0
0B32m, ଳ,0,0,0,0,0,0,0,0
0B35m, ଵ,0,0,0,0,0,0,0,0
0B36m, ଶ,0,0,0,0,0,0,0,0
0B37m, ଷ,0,0,0,0,0,0,0,0
0B38m, ସ,0,0,0,0,0,0,0,0
0B39m, ହ,0,0,0,0,0,0,0,0
