Unicode,Akshara,Top Modifier,Right Modifier,Bottom Modifier,Left Modifier,Center Modifier,Derived Consonant Modifier,Distinct Consonant Modifier,additional_complexity
0B85,அ,0,0,0,0,0,0,0,0
0B86,ஆ,0,0,1,0,0,0,0,0
0B87,இ,0,0,0,0,0,0,0,0
0B88,ஈ,0,0,0,0,0,0,0,0
0B89,உ,0,0,0,0,0,0,0,0
0B8A,ஊ,0,1,0,0,0,0,0,0
0B8E,எ,0,0,0,0,0,0,0,0
0B8F,ஏ,0,0,1,0,0,0,0,0
0B90,ஐ,0,0,0,0,0,0,0,0
0B92,ஒ,0,0,0,0,0,0,0,0
0B93,ஓ,0,0,1,0,0,0,0,0
0B94,ஔ,0,1,0,0,0,0,0,0
0B95,க,0,0,0,0,0,0,0,0
0B99,ங,0,0,0,0,0,0,0,0
0B9A,ச,0,0,0,0,0,0,0,0
0B9C,ஜ,0,0,0,0,0,0,0,0
0B9E,ஞ,0,0,0,0,0,0,0,0
0B9F,ட,0,0,0,0,0,0,0,0
0BA3,ண,0,0,0,0,0,0,0,0
0BA4,த,0,0,0,0,0,0,0,0
0BA8,ந,0,0,0,0,0,0,0,0
0BA9,ன,0,0,0,0,0,0,0,0
0BAA,ப,0,0,0,0,0,0,0,0
0BAE,ம,0,0,0,0,0,0,0,0
0BAF,ய,0,0,0,0,0,0,0,0
0BB0,ர,0,0,0,0,0,0,0,0
0BB1,ற,0,0,0,0,0,0,0,0
0BB2,ல,0,0,0,0,0,0,0,0
0BB3,ள,0,0,0,0,0,0,0,0
0BB4,ழ,0,0,0,0,0,0,0,0
0BB5,வ,0,0,0,0,0,0,0,0
0BB6,ஶ,0,0,0,0,0,0,0,0
0BB7,ஷ,0,0,0,0,0,0,0,0
0BB8,ஸ,0,0,0,0,0,0,0,0
0BB9,ஹ,0,0,0,0,0,0,0,0
0BBE,ா,0,1,0,0,0,0,0,0
0BBF,ி,0,1,0,0,0,0,0,0
0BC0,ீ,1,0,0,0,0,0,0,0
0BC1,ு,0,1,0,0,0,0,0,0
0BC2,ூ,0,1,0,0,0,0,0,0
0BC6,ெ,0,0,0,1,0,0,0,0
0BC7,ே,0,0,0,1,0,0,0,0
0BC8,ை,0,0,0,1,0,0,0,0
0BCA,ொ,0,1,0,1,0,0,0,0
0BCB,ோ,0,1,0,1,0,0,0,0
0BCC,ௌ,0,1,0,1,0,0,0,0
0BD7,ௗ,0,1,0,0,0,0,0,0
0BCD,்,1,0,0,0,0,0,0,0
0B82,ஂ,1,0,0,0,0,0,0,0
0B83,ஃ,0,1,0,0,0,0,0,0
